,Room_type
798,Not mentioned
799,Not mentioned
800,Not mentioned
801,Not mentioned
802,Not mentioned
804,Entire home/apt
806,Entire home/apt
808,Entire home/apt
809,Entire home/apt
810,Not mentioned
812,Entire home/apt
813,Entire home/apt
814,Private room
816,Private room
817,Shared room
818,Entire home/apt
819,Private room
820,Not mentioned
822,Entire home/apt
823,Not mentioned
824,Not mentioned
825,Not mentioned
826,Entire home/apt
827,Private room
829,Entire home/apt
830,Entire home/apt
831,Not mentioned
832,Not mentioned
833,Entire home/apt
834,Entire home/apt
835,Not mentioned
836,Not mentioned
838,Entire home/apt
839,Private room
840,Not mentioned
842,Private room
843,Not mentioned
844,Not mentioned
845,Not mentioned
846,Not mentioned
847,Not mentioned
848,Not mentioned
849,Not mentioned
850,Entire home/apt
851,Not mentioned
852,Not mentioned
854,Private room
855,Not mentioned
857,Entire home/apt
858,Not mentioned
859,Entire home/apt
860,Entire home/apt
861,Entire home/apt
862,Not mentioned
864,Private room
865,Not mentioned
867,Private room
868,Private room
869,Private room
870,Not mentioned
871,Not mentioned
872,Not mentioned
873,Not mentioned
875,Entire home/apt
876,Entire home/apt
877,Not mentioned
878,Entire home/apt
879,Private room
880,Entire home/apt
881,Not mentioned
882,Not mentioned
884,Entire home/apt
885,Not mentioned
886,Not mentioned
887,Not mentioned
889,Private room
890,Not mentioned
891,Not mentioned
892,Not mentioned
893,Not mentioned
894,Not mentioned
895,Not mentioned
896,Private room
898,Private room
900,Entire home/apt
902,Private room
904,Private room
905,Private room
906,Not mentioned
907,Not mentioned
908,Private room
909,Private room
910,Not mentioned
912,Entire home/apt
913,Not mentioned
914,Private room
916,Entire home/apt
917,Entire home/apt
919,Entire home/apt
920,Not mentioned
921,Not mentioned
922,Entire home/apt
923,Not mentioned
925,Entire home/apt
926,Not mentioned
927,Not mentioned
929,Private room
931,Entire home/apt
932,Not mentioned
933,Not mentioned
934,Not mentioned
935,Not mentioned
936,Not mentioned
938,Entire home/apt
939,Entire home/apt
940,Private room
941,Entire home/apt
942,Shared room
943,Private room
944,Shared room
946,Entire home/apt
947,Entire home/apt
948,Private room
949,Private room
951,Private room
952,Entire home/apt
953,Private room
954,Entire home/apt
955,Not mentioned
956,Not mentioned
958,Private room
959,Entire home/apt
961,Private room
962,Entire home/apt
963,Not mentioned
964,Not mentioned
966,Entire home/apt
968,Entire home/apt
970,Entire home/apt
972,Entire home/apt
973,Entire home/apt
974,Private room
975,Private room
977,Entire home/apt
978,Not mentioned
979,Not mentioned
981,Entire home/apt
982,Not mentioned
983,Not mentioned
985,Entire home/apt
987,Entire home/apt
988,Entire home/apt
989,Private room
990,Not mentioned
991,Not mentioned
992,Not mentioned
994,Entire home/apt
996,Entire home/apt
998,Entire home/apt
999,Not mentioned
1001,Entire home/apt
1002,Private room
1003,Not mentioned
1004,Not mentioned
1006,Entire home/apt
1007,Entire home/apt
1009,Entire home/apt
1010,Entire home/apt
1011,Not mentioned
1012,Private room
1014,Entire home/apt
1015,Not mentioned
1016,Not mentioned
1018,Entire home/apt
1020,Entire home/apt
1022,Entire home/apt
1023,Not mentioned
1025,Entire home/apt
1027,Entire home/apt
1029,Entire home/apt
1030,Entire home/apt
1031,Not mentioned
1032,Private room
1033,Not mentioned
1034,Not mentioned
1035,Not mentioned
1036,Not mentioned
1037,Entire home/apt
1038,Not mentioned
1039,Not mentioned
1040,Not mentioned
1041,Not mentioned
1043,Entire home/apt
1044,Not mentioned
1045,Not mentioned
1046,Not mentioned
1047,Not mentioned
1048,Not mentioned
1050,Entire home/apt
1052,Entire home/apt
1053,Entire home/apt
1054,Private room
1055,Entire home/apt
1057,Entire home/apt
1058,Not mentioned
1059,Not mentioned
1061,Entire home/apt
1062,Not mentioned
1064,Entire home/apt
1065,Private room
1066,Entire home/apt
1068,Private room
1069,Private room
1070,Not mentioned
1071,Not mentioned
1072,Not mentioned
1073,Not mentioned
1075,Private room
1076,Not mentioned
1077,Entire home/apt
1078,Entire home/apt
1079,Shared room
1080,Entire home/apt
1081,Entire home/apt
1083,Entire home/apt
1085,Entire home/apt
1087,Private room
1088,Not mentioned
1089,Shared room
1091,Shared room
1093,Entire home/apt
1094,Entire home/apt
1095,Not mentioned
1096,Not mentioned
1097,Entire home/apt
1098,Entire home/apt
1099,Not mentioned
1100,Entire home/apt
1101,Entire home/apt
1103,Private room
1105,Entire home/apt
1106,Not mentioned
1107,Not mentioned
1108,Not mentioned
1109,Private room
1111,Entire home/apt
1112,Not mentioned
1113,Private room
1115,Private room
1117,Entire home/apt
1118,Not mentioned
1120,Entire home/apt
1121,Not mentioned
1122,Not mentioned
1123,Not mentioned
1124,Not mentioned
1125,Private room
1127,Entire home/apt
1129,Private room
1130,Not mentioned
1131,Not mentioned
1132,Not mentioned
1134,Private room
1136,Private room
1138,Private room
1140,Entire home/apt
1141,Not mentioned
1142,Not mentioned
1143,Entire home/apt
1144,Not mentioned
1145,Entire home/apt
1146,Entire home/apt
1147,Private room
1148,Not mentioned
1150,Entire home/apt
1152,Entire home/apt
1153,Not mentioned
1154,Not mentioned
1156,Entire home/apt
1158,Entire home/apt
1160,Entire home/apt
1161,Not mentioned
1162,Not mentioned
1163,Private room
1164,Not mentioned
1165,Private room
1166,Private room
1168,Private room
1169,Not mentioned
1170,Not mentioned
1171,Not mentioned
1172,Not mentioned
1173,Shared room
1174,Entire home/apt
1175,Shared room
1176,Private room
1177,Entire home/apt
1178,Not mentioned
1179,Not mentioned
1181,Entire home/apt
1182,Entire home/apt
1183,Private room
1184,Not mentioned
1186,Entire home/apt
1187,Not mentioned
1189,Private room
1190,Entire home/apt
1191,Not mentioned
1192,Not mentioned
1194,Entire home/apt
1196,Private room
1198,Entire home/apt
1199,Private room
1200,Not mentioned
1201,Not mentioned
1203,Entire home/apt
1204,Not mentioned
1205,Not mentioned
1206,Not mentioned
1207,Not mentioned
1208,Not mentioned
1209,Not mentioned
1210,Not mentioned
1211,Private room
1213,Entire home/apt
1215,Entire home/apt
1216,Entire home/apt
1217,Entire home/apt
1218,Entire home/apt
1219,Private room
1220,Private room
1221,Private room
1222,Entire home/apt
1224,Entire home/apt
1225,Entire home/apt
1226,Not mentioned
1227,Not mentioned
1228,Not mentioned
1229,Not mentioned
1230,Not mentioned
1232,Entire home/apt
1233,Entire home/apt
1234,Private room
1235,Entire home/apt
1236,Private room
1237,Shared room
1238,Entire home/apt
1239,Shared room
1240,Private room
1241,Entire home/apt
1242,Not mentioned
1243,Not mentioned
1244,Not mentioned
1246,Entire home/apt
1247,Private room
1248,Private room
1250,Private room
1251,Not mentioned
1253,Private room
1254,Not mentioned
1255,Not mentioned
1256,Not mentioned
1257,Not mentioned
1258,Not mentioned
1260,Entire home/apt
1262,Entire home/apt
1264,Entire home/apt
1265,Not mentioned
1267,Entire home/apt
1268,Not mentioned
1269,Not mentioned
1271,Entire home/apt
1272,Not mentioned
1274,Entire home/apt
1275,Not mentioned
1276,Entire home/apt
1278,Entire home/apt
1279,Entire home/apt
1280,Private room
1282,Entire home/apt
1283,Entire home/apt
1284,Private room
1285,Not mentioned
1286,Not mentioned
1288,Entire home/apt
1289,Not mentioned
1291,Private room
1292,Entire home/apt
1294,Entire home/apt
1296,Entire home/apt
1298,Entire home/apt
1299,Entire home/apt
1300,Private room
1301,Private room
1302,Not mentioned
1303,Not mentioned
1305,Private room
1307,Entire home/apt
1308,Entire home/apt
1309,Private room
1310,Entire home/apt
