,Room_type
29633,Entire home/apt
29634,Entire home/apt
29635,Private room
29636,Not mentioned
29637,Not mentioned
29638,Not mentioned
29639,Not mentioned
29640,Entire home/apt
29642,Entire home/apt
29644,Entire home/apt
29645,Not mentioned
29646,Not mentioned
29647,Not mentioned
29648,Not mentioned
29649,Not mentioned
29650,Not mentioned
29652,Entire home/apt
29653,Shared room
29654,Entire home/apt
29655,Not mentioned
29656,Not mentioned
29657,Entire home/apt
29658,Not mentioned
29659,Not mentioned
29660,Not mentioned
29661,Not mentioned
29662,Not mentioned
29663,Not mentioned
29664,Not mentioned
29666,Entire home/apt
29667,Private room
29668,Not mentioned
29669,Not mentioned
29670,Not mentioned
29672,Entire home/apt
29673,Not mentioned
29675,Entire home/apt
29676,Not mentioned
29677,Not mentioned
29678,Not mentioned
29680,Entire home/apt
29681,Not mentioned
29682,Not mentioned
29683,Not mentioned
29684,Not mentioned
29685,Not mentioned
29686,Not mentioned
29688,Entire home/apt
29689,Entire home/apt
29690,Private room
29692,Entire home/apt
29694,Entire home/apt
29696,Entire home/apt
29697,Entire home/apt
29698,Private room
29699,Not mentioned
29701,Entire home/apt
29702,Entire home/apt
29703,Private room
29704,Not mentioned
29705,Not mentioned
29706,Not mentioned
29707,Not mentioned
29708,Not mentioned
29709,Entire home/apt
29711,Entire home/apt
29712,Not mentioned
29714,Entire home/apt
29715,Not mentioned
29717,Entire home/apt
29719,Private room
29720,Entire home/apt
29722,Entire home/apt
29723,Not mentioned
29724,Not mentioned
29725,Not mentioned
29726,Not mentioned
29727,Not mentioned
29729,Entire home/apt
29731,Entire home/apt
29732,Private room
29733,Private room
29734,Not mentioned
29736,Entire home/apt
29737,Entire home/apt
29738,Private room
29739,Entire home/apt
29740,Private room
29741,Shared room
29742,Not mentioned
29744,Entire home/apt
29745,Not mentioned
29746,Not mentioned
29747,Entire home/apt
29748,Not mentioned
29749,Not mentioned
29750,Private room
29751,Not mentioned
29752,Not mentioned
29753,Not mentioned
29754,Not mentioned
29755,Not mentioned
29756,Not mentioned
29757,Not mentioned
29758,Not mentioned
29760,Private room
29761,Not mentioned
29762,Not mentioned
29764,Entire home/apt
29765,Not mentioned
29766,Not mentioned
29767,Not mentioned
29768,Not mentioned
29769,Not mentioned
29771,Private room
29773,Entire home/apt
29774,Not mentioned
29775,Not mentioned
29777,Entire home/apt
29778,Not mentioned
29780,Entire home/apt
29781,Entire home/apt
29782,Entire home/apt
29783,Not mentioned
29784,Not mentioned
29785,Not mentioned
29786,Not mentioned
29787,Not mentioned
29788,Not mentioned
29789,Not mentioned
29790,Private room
29791,Entire home/apt
29792,Entire home/apt
29793,Shared room
29794,Not mentioned
29795,Not mentioned
29796,Entire home/apt
29797,Not mentioned
29798,Not mentioned
29799,Entire home/apt
29800,Not mentioned
29801,Not mentioned
29802,Entire home/apt
29803,Not mentioned
29805,Entire home/apt
29806,Not mentioned
29808,Shared room
29809,Entire home/apt
29811,Entire home/apt
29813,Entire home/apt
29814,Entire home/apt
29815,Private room
29816,Not mentioned
29817,Not mentioned
29819,Entire home/apt
29820,Not mentioned
29822,Entire home/apt
29823,Not mentioned
29825,Entire home/apt
29826,Not mentioned
29827,Not mentioned
29829,Entire home/apt
29830,Not mentioned
29832,Entire home/apt
29833,Not mentioned
29834,Not mentioned
29835,Not mentioned
29836,Not mentioned
29838,Entire home/apt
29840,Entire home/apt
29841,Entire home/apt
29843,Entire home/apt
29845,Entire home/apt
29846,Not mentioned
29847,Not mentioned
29848,Not mentioned
29849,Not mentioned
29851,Entire home/apt
29852,Not mentioned
29853,Entire home/apt
29854,Entire home/apt
29855,Private room
29856,Entire home/apt
29857,Private room
29859,Entire home/apt
29860,Entire home/apt
29861,Private room
29863,Entire home/apt
29865,Entire home/apt
29866,Not mentioned
29868,Entire home/apt
29869,Entire home/apt
29870,Private room
29871,Not mentioned
29872,Not mentioned
29873,Not mentioned
29874,Not mentioned
29875,Not mentioned
29876,Not mentioned
29877,Not mentioned
29878,Not mentioned
29880,Entire home/apt
29881,Entire home/apt
29882,Private room
29884,Entire home/apt
29885,Entire home/apt
29886,Private room
29887,Private room
29888,Shared room
29889,Not mentioned
29891,Entire home/apt
29893,Entire home/apt
29894,Private room
29895,Not mentioned
29897,Entire home/apt
29898,Not mentioned
29899,Not mentioned
29900,Not mentioned
29902,Shared room
29903,Private room
29904,Not mentioned
29905,Not mentioned
29906,Not mentioned
29907,Not mentioned
29908,Not mentioned
29909,Not mentioned
29911,Private room
29913,Private room
29914,Private room
29915,Entire home/apt
29916,Not mentioned
29917,Not mentioned
29918,Not mentioned
29919,Not mentioned
29920,Not mentioned
29922,Entire home/apt
29923,Entire home/apt
29924,Not mentioned
29926,Entire home/apt
29927,Not mentioned
29929,Entire home/apt
29930,Not mentioned
29931,Not mentioned
29932,Not mentioned
29933,Entire home/apt
29935,Private room
29936,Entire home/apt
29937,Entire home/apt
29938,Not mentioned
29940,Entire home/apt
29941,Not mentioned
29942,Not mentioned
29943,Not mentioned
29944,Not mentioned
29945,Entire home/apt
29946,Not mentioned
29947,Not mentioned
29948,Entire home/apt
29949,Entire home/apt
29950,Not mentioned
29952,Entire home/apt
29953,Entire home/apt
29954,Private room
29955,Private room
29956,Not mentioned
29957,Not mentioned
29958,Not mentioned
29959,Not mentioned
29961,Private room
29963,Private room
29964,Not mentioned
29965,Not mentioned
29966,Entire home/apt
29967,Not mentioned
29969,Entire home/apt
29970,Private room
29972,Private room
29973,Not mentioned
29974,Not mentioned
29975,Not mentioned
29976,Not mentioned
29978,Private room
29980,Private room
29981,Not mentioned
29983,Private room
29984,Private room
29986,Entire home/apt
29988,Entire home/apt
29989,Entire home/apt
29990,Not mentioned
29992,Private room
29993,Entire home/apt
29995,Entire home/apt
29996,Private room
29997,Not mentioned
29998,Not mentioned
29999,Not mentioned
30000,Not mentioned
30001,Not mentioned
30002,Not mentioned
30003,Not mentioned
30004,Not mentioned
30005,Not mentioned
30006,Not mentioned
30008,Entire home/apt
30009,Not mentioned
30010,Not mentioned
30011,Not mentioned
30012,Not mentioned
30013,Entire home/apt
30015,Entire home/apt
30016,Entire home/apt
30017,Entire home/apt
30018,Entire home/apt
30019,Entire home/apt
30020,Private room
30021,Private room
30022,Private room
30024,Entire home/apt
30025,Not mentioned
30026,Not mentioned
30027,Not mentioned
30029,Entire home/apt
30030,Not mentioned
30031,Not mentioned
30032,Not mentioned
30034,Entire home/apt
30035,Entire home/apt
30036,Private room
30037,Shared room
30038,Entire home/apt
30039,Shared room
30040,Not mentioned
30041,Not mentioned
30042,Not mentioned
30043,Entire home/apt
30044,Not mentioned
30045,Entire home/apt
30046,Not mentioned
30048,Private room
30049,Entire home/apt
30050,Not mentioned
30052,Entire home/apt
30054,Entire home/apt
30055,Private room
30056,Not mentioned
30057,Not mentioned
30059,Entire home/apt
30061,Entire home/apt
30063,Entire home/apt
30064,Not mentioned
30065,Not mentioned
30067,Entire home/apt
30068,Private room
30069,Entire home/apt
30071,Entire home/apt
30072,Private room
30073,Not mentioned
30074,Not mentioned
30076,Private room
30077,Not mentioned
30079,Entire home/apt
30080,Not mentioned
30081,Not mentioned
30082,Private room
30083,Shared room
30084,Entire home/apt
30085,Not mentioned
30086,Not mentioned
30087,Not mentioned
30088,Not mentioned
30090,Entire home/apt
30091,Not mentioned
30092,Not mentioned
30093,Not mentioned
30094,Not mentioned
30096,Private room
30097,Not mentioned
30098,Not mentioned
30100,Entire home/apt
30101,Not mentioned
30103,Entire home/apt
30104,Private room
30105,Not mentioned
30106,Not mentioned
30107,Not mentioned
30108,Not mentioned
30109,Not mentioned
30111,Entire home/apt
30112,Not mentioned
30113,Entire home/apt
30115,Entire home/apt
30116,Entire home/apt
30117,Shared room
30118,Not mentioned
30119,Not mentioned
30120,Not mentioned
30121,Not mentioned
30122,Not mentioned
30123,Not mentioned
30124,Not mentioned
30126,Entire home/apt
30127,Entire home/apt
30128,Private room
30129,Private room
30130,Not mentioned
30132,Entire home/apt
30134,Entire home/apt
30136,Entire home/apt
30138,Entire home/apt
30139,Entire home/apt
30140,Private room
30141,Private room
30143,Entire home/apt
30145,Entire home/apt
30146,Entire home/apt
30147,Entire home/apt
30148,Not mentioned
30149,Not mentioned
30151,Entire home/apt
30153,Entire home/apt
30154,Not mentioned
30155,Not mentioned
30156,Not mentioned
30157,Not mentioned
30159,Entire home/apt
30161,Entire home/apt
30162,Private room
30164,Entire home/apt
30165,Not mentioned
30167,Entire home/apt
30168,Not mentioned
30169,Not mentioned
30170,Not mentioned
30171,Not mentioned
30172,Entire home/apt
30174,Entire home/apt
30175,Not mentioned
30177,Private room
30178,Not mentioned
30180,Private room
30181,Private room
30182,Private room
30183,Private room
30185,Private room
30186,Entire home/apt
30187,Not mentioned
30189,Entire home/apt
30190,Entire home/apt
30191,Not mentioned
30192,Not mentioned
30193,Not mentioned
30194,Not mentioned
30196,Entire home/apt
30198,Entire home/apt
30200,Entire home/apt
30201,Not mentioned
30202,Entire home/apt
30203,Not mentioned
30204,Not mentioned
30206,Private room
30207,Not mentioned
30209,Private room
30211,Private room
30212,Not mentioned
30213,Not mentioned
30214,Not mentioned
30215,Not mentioned
30216,Not mentioned
30217,Private room
30219,Private room
30220,Private room
30221,Not mentioned
30223,Private room
30224,Private room
30225,Not mentioned
30226,Not mentioned
30228,Entire home/apt
30229,Not mentioned
30230,Not mentioned
30231,Not mentioned
30232,Not mentioned
30233,Not mentioned
30234,Not mentioned
30235,Not mentioned
30236,Not mentioned
30237,Not mentioned
30238,Not mentioned
30239,Not mentioned
30240,Not mentioned
30242,Private room
30243,Private room
30245,Entire home/apt
30246,Private room
30247,Not mentioned
30248,Not mentioned
30249,Not mentioned
30251,Entire home/apt
30253,Private room
30254,Entire home/apt
30256,Entire home/apt
30257,Not mentioned
30258,Not mentioned
30259,Not mentioned
30261,Entire home/apt
30262,Entire home/apt
30263,Private room
30264,Not mentioned
30265,Not mentioned
30266,Not mentioned
30268,Private room
30269,Not mentioned
30270,Private room
30271,Private room
30272,Not mentioned
30273,Not mentioned
30275,Entire home/apt
30276,Not mentioned
30277,Entire home/apt
30279,Private room
30280,Not mentioned
30281,Not mentioned
30283,Entire home/apt
30284,Entire home/apt
30285,Private room
30286,Not mentioned
30288,Private room
30289,Not mentioned
30290,Not mentioned
30291,Private room
30293,Entire home/apt
30294,Entire home/apt
30295,Not mentioned
30296,Not mentioned
30297,Entire home/apt
30298,Not mentioned
30300,Entire home/apt
30301,Not mentioned
30303,Entire home/apt
30304,Not mentioned
30305,Entire home/apt
30307,Entire home/apt
30308,Private room
30309,Private room
30310,Entire home/apt
30311,Private room
30312,Entire home/apt
30313,Private room
30314,Not mentioned
30315,Not mentioned
30316,Not mentioned
30317,Not mentioned
30318,Entire home/apt
30319,Not mentioned
30320,Not mentioned
30322,Entire home/apt
30323,Private room
30324,Entire home/apt
30325,Not mentioned
30327,Entire home/apt
30328,Not mentioned
30329,Entire home/apt
30330,Not mentioned
30331,Not mentioned
30332,Not mentioned
30333,Not mentioned
30334,Not mentioned
30335,Not mentioned
30336,Entire home/apt
30337,Not mentioned
30338,Not mentioned
30339,Not mentioned
30340,Not mentioned
30341,Not mentioned
30342,Not mentioned
30344,Entire home/apt
30345,Not mentioned
30346,Not mentioned
30347,Not mentioned
30349,Shared room
30351,Entire home/apt
30352,Not mentioned
30354,Private room
30355,Private room
30356,Not mentioned
30358,Entire home/apt
30359,Entire home/apt
30361,Entire home/apt
30362,Shared room
30363,Not mentioned
30364,Not mentioned
30366,Entire home/apt
30367,Entire home/apt
30368,Private room
30369,Entire home/apt
30370,Entire home/apt
30371,Private room
30372,Private room
30373,Not mentioned
30375,Entire home/apt
30376,Not mentioned
30378,Entire home/apt
30379,Private room
30380,Not mentioned
30381,Not mentioned
30382,Not mentioned
30384,Entire home/apt
30385,Not mentioned
30386,Not mentioned
30387,Not mentioned
30388,Not mentioned
30389,Entire home/apt
30390,Not mentioned
30392,Entire home/apt
30393,Not mentioned
30395,Entire home/apt
30396,Not mentioned
30397,Not mentioned
30398,Not mentioned
30399,Not mentioned
30400,Not mentioned
30401,Not mentioned
30403,Shared room
30405,Entire home/apt
30407,Entire home/apt
30408,Not mentioned
30410,Entire home/apt
30411,Not mentioned
30412,Entire home/apt
30413,Not mentioned
30414,Not mentioned
30415,Entire home/apt
30416,Not mentioned
30417,Not mentioned
30418,Not mentioned
30419,Not mentioned
30420,Not mentioned
30422,Entire home/apt
30423,Entire home/apt
30424,Entire home/apt
30425,Not mentioned
30426,Not mentioned
30427,Not mentioned
30429,Entire home/apt
30430,Not mentioned
30431,Not mentioned
30432,Not mentioned
30433,Not mentioned
30434,Not mentioned
30436,Private room
30437,Not mentioned
30438,Not mentioned
30439,Not mentioned
30441,Entire home/apt
30442,Not mentioned
30444,Entire home/apt
30445,Entire home/apt
30446,Private room
30447,Private room
30448,Not mentioned
30450,Private room
30451,Private room
30452,Private room
30453,Not mentioned
30454,Not mentioned
30455,Not mentioned
30456,Not mentioned
30457,Not mentioned
30459,Entire home/apt
30460,Entire home/apt
30461,Private room
30462,Not mentioned
30463,Not mentioned
30465,Entire home/apt
30467,Entire home/apt
30468,Not mentioned
30469,Private room
30470,Not mentioned
30472,Private room
30474,Entire home/apt
30476,Entire home/apt
30478,Entire home/apt
30479,Not mentioned
30480,Not mentioned
30481,Not mentioned
30483,Entire home/apt
30485,Entire home/apt
30486,Not mentioned
30487,Entire home/apt
30489,Entire home/apt
30490,Entire home/apt
30492,Entire home/apt
30493,Entire home/apt
30494,Private room
30495,Private room
30496,Not mentioned
30498,Entire home/apt
30500,Entire home/apt
30501,Entire home/apt
30502,Private room
30503,Private room
30505,Entire home/apt
30507,Entire home/apt
30508,Not mentioned
30509,Not mentioned
30511,Entire home/apt
30513,Entire home/apt
30515,Entire home/apt
30516,Not mentioned
30517,Entire home/apt
30518,Not mentioned
30520,Entire home/apt
30521,Entire home/apt
30522,Private room
30523,Not mentioned
30524,Not mentioned
30525,Not mentioned
30526,Entire home/apt
30527,Private room
30528,Not mentioned
30529,Not mentioned
30531,Entire home/apt
30532,Not mentioned
30533,Entire home/apt
30534,Entire home/apt
30535,Private room
30537,Entire home/apt
30538,Not mentioned
30539,Entire home/apt
30540,Not mentioned
30541,Not mentioned
30542,Not mentioned
30544,Private room
30546,Entire home/apt
30547,Entire home/apt
30548,Not mentioned
30550,Entire home/apt
30551,Entire home/apt
30552,Entire home/apt
30554,Entire home/apt
30555,Not mentioned
30557,Entire home/apt
30558,Private room
30559,Entire home/apt
30561,Entire home/apt
30562,Not mentioned
30563,Entire home/apt
30565,Private room
30566,Not mentioned
30568,Entire home/apt
30570,Entire home/apt
30571,Not mentioned
30573,Entire home/apt
30575,Entire home/apt
30576,Not mentioned
30577,Not mentioned
30578,Not mentioned
30580,Private room
30581,Not mentioned
30583,Entire home/apt
30584,Not mentioned
30585,Private room
30587,Private room
30589,Entire home/apt
30590,Not mentioned
30591,Not mentioned
30592,Entire home/apt
30593,Not mentioned
30594,Entire home/apt
30595,Private room
30596,Private room
30597,Entire home/apt
30599,Entire home/apt
30600,Private room
30601,Not mentioned
30603,Entire home/apt
30605,Entire home/apt
30606,Entire home/apt
30608,Entire home/apt
30610,Entire home/apt
30611,Not mentioned
30613,Entire home/apt
30614,Entire home/apt
30615,Private room
30616,Private room
30617,Private room
30618,Shared room
30620,Entire home/apt
30621,Private room
30622,Private room
30623,Not mentioned
30624,Not mentioned
30625,Not mentioned
30626,Not mentioned
30627,Not mentioned
30628,Not mentioned
30629,Not mentioned
30630,Not mentioned
30631,Private room
30632,Entire home/apt
30633,Not mentioned
30635,Entire home/apt
30636,Not mentioned
30637,Not mentioned
30638,Private room
30639,Not mentioned
30640,Not mentioned
30641,Not mentioned
30643,Entire home/apt
30644,Private room
30645,Not mentioned
30647,Entire home/apt
30648,Private room
30649,Private room
30650,Not mentioned
30651,Not mentioned
30652,Not mentioned
30654,Entire home/apt
30655,Not mentioned
30657,Entire home/apt
30659,Entire home/apt
30661,Entire home/apt
30662,Not mentioned
30664,Entire home/apt
30666,Entire home/apt
30668,Entire home/apt
30670,Entire home/apt
30671,Not mentioned
30672,Not mentioned
30673,Not mentioned
30674,Not mentioned
30675,Not mentioned
30676,Not mentioned
30678,Entire home/apt
30679,Private room
30680,Private room
30681,Not mentioned
30682,Not mentioned
30683,Not mentioned
30685,Entire home/apt
30686,Entire home/apt
30687,Not mentioned
30688,Not mentioned
30689,Not mentioned
30690,Not mentioned
30691,Not mentioned
30692,Not mentioned
30693,Not mentioned
30695,Entire home/apt
30696,Private room
30698,Entire home/apt
30699,Not mentioned
30700,Entire home/apt
30701,Private room
30703,Entire home/apt
30704,Entire home/apt
30705,Private room
30706,Not mentioned
30708,Entire home/apt
30709,Not mentioned
30710,Entire home/apt
30712,Entire home/apt
30713,Private room
30715,Entire home/apt
30716,Entire home/apt
30717,Not mentioned
30719,Private room
30720,Not mentioned
30722,Entire home/apt
30723,Not mentioned
30724,Entire home/apt
30725,Not mentioned
30727,Entire home/apt
30729,Entire home/apt
30730,Private room
30731,Entire home/apt
30732,Shared room
30733,Entire home/apt
30734,Private room
30735,Entire home/apt
30736,Not mentioned
30737,Not mentioned
30739,Entire home/apt
30740,Not mentioned
30741,Entire home/apt
30742,Private room
30743,Not mentioned
30745,Entire home/apt
30746,Private room
30747,Not mentioned
30748,Not mentioned
30749,Entire home/apt
30751,Entire home/apt
30752,Not mentioned
30753,Not mentioned
30754,Not mentioned
30755,Not mentioned
30756,Not mentioned
30757,Not mentioned
30758,Not mentioned
30759,Not mentioned
30761,Shared room
30762,Private room
30763,Not mentioned
30764,Not mentioned
30765,Not mentioned
30766,Not mentioned
30768,Private room
30769,Entire home/apt
30770,Private room
30771,Shared room
30772,Not mentioned
30773,Not mentioned
30774,Not mentioned
30776,Entire home/apt
30777,Not mentioned
30778,Entire home/apt
30780,Entire home/apt
30781,Not mentioned
30782,Not mentioned
30783,Not mentioned
30785,Entire home/apt
30786,Entire home/apt
30788,Entire home/apt
30790,Entire home/apt
30791,Not mentioned
30793,Entire home/apt
30794,Entire home/apt
30795,Not mentioned
30797,Entire home/apt
30798,Not mentioned
30799,Not mentioned
30800,Not mentioned
30801,Entire home/apt
30802,Not mentioned
30803,Not mentioned
30804,Not mentioned
30805,Not mentioned
30806,Not mentioned
30807,Entire home/apt
30808,Not mentioned
30809,Not mentioned
30810,Not mentioned
30811,Not mentioned
30812,Not mentioned
30814,Private room
30815,Not mentioned
30816,Entire home/apt
30818,Entire home/apt
30819,Entire home/apt
30821,Entire home/apt
30822,Not mentioned
30823,Not mentioned
30824,Entire home/apt
30825,Not mentioned
30826,Not mentioned
30827,Not mentioned
30828,Not mentioned
30829,Entire home/apt
30831,Entire home/apt
30832,Not mentioned
30833,Not mentioned
30835,Entire home/apt
30837,Entire home/apt
30838,Not mentioned
30839,Not mentioned
30841,Entire home/apt
30842,Entire home/apt
30843,Private room
30844,Shared room
30845,Entire home/apt
30846,Private room
30847,Shared room
30848,Entire home/apt
30849,Private room
30850,Shared room
30851,Entire home/apt
30852,Entire home/apt
30853,Private room
30854,Entire home/apt
30855,Private room
30856,Shared room
30857,Entire home/apt
30858,Shared room
30859,Entire home/apt
30860,Entire home/apt
30861,Entire home/apt
30862,Not mentioned
30863,Not mentioned
30865,Entire home/apt
30867,Entire home/apt
30869,Entire home/apt
30871,Entire home/apt
30872,Not mentioned
30873,Not mentioned
30875,Private room
30876,Not mentioned
30878,Entire home/apt
30880,Entire home/apt
30881,Not mentioned
30882,Not mentioned
30883,Not mentioned
30884,Entire home/apt
30885,Private room
30886,Private room
30887,Not mentioned
30888,Not mentioned
30890,Entire home/apt
30891,Not mentioned
30892,Entire home/apt
30893,Not mentioned
30894,Not mentioned
30895,Not mentioned
30897,Private room
30898,Private room
30899,Not mentioned
30901,Entire home/apt
30903,Entire home/apt
30904,Entire home/apt
30905,Private room
30906,Not mentioned
30907,Not mentioned
30908,Not mentioned
30910,Entire home/apt
30911,Private room
30913,Entire home/apt
30914,Entire home/apt
30915,Private room
30917,Entire home/apt
30918,Entire home/apt
30919,Private room
30920,Private room
30921,Not mentioned
30923,Entire home/apt
30924,Private room
30925,Not mentioned
30926,Entire home/apt
30928,Entire home/apt
30929,Not mentioned
30931,Entire home/apt
30932,Entire home/apt
30933,Private room
30934,Not mentioned
30935,Not mentioned
30937,Private room
30939,Private room
30941,Entire home/apt
30943,Entire home/apt
30945,Entire home/apt
30946,Not mentioned
30947,Entire home/apt
30948,Not mentioned
30950,Entire home/apt
30951,Entire home/apt
30952,Private room
30953,Private room
30955,Entire home/apt
30956,Entire home/apt
30958,Entire home/apt
30959,Private room
30961,Entire home/apt
30962,Not mentioned
30963,Not mentioned
30964,Not mentioned
30965,Not mentioned
30966,Not mentioned
30967,Entire home/apt
30968,Not mentioned
30969,Entire home/apt
30970,Private room
30971,Shared room
30972,Private room
30973,Not mentioned
30975,Entire home/apt
30977,Private room
30978,Private room
30979,Shared room
30981,Entire home/apt
30982,Not mentioned
30983,Not mentioned
30985,Entire home/apt
30987,Entire home/apt
30988,Not mentioned
30989,Not mentioned
30990,Not mentioned
30991,Not mentioned
30992,Not mentioned
30994,Private room
30995,Not mentioned
30996,Not mentioned
30998,Entire home/apt
31000,Entire home/apt
31001,Not mentioned
31003,Private room
31005,Private room
31007,Private room
31008,Not mentioned
31009,Not mentioned
31010,Not mentioned
31012,Private room
31014,Private room
31015,Shared room
31016,Entire home/apt
31017,Private room
31018,Shared room
31019,Entire home/apt
31020,Not mentioned
31021,Not mentioned
31023,Entire home/apt
31025,Entire home/apt
31027,Entire home/apt
31028,Not mentioned
31029,Not mentioned
31030,Not mentioned
31031,Not mentioned
31032,Not mentioned
31033,Entire home/apt
31035,Entire home/apt
31036,Entire home/apt
31037,Private room
31038,Not mentioned
31040,Private room
31042,Entire home/apt
31043,Entire home/apt
31044,Not mentioned
31045,Entire home/apt
31047,Entire home/apt
31049,Entire home/apt
31050,Entire home/apt
31052,Entire home/apt
31053,Not mentioned
31054,Not mentioned
31055,Not mentioned
31057,Entire home/apt
31058,Not mentioned
31059,Not mentioned
31060,Not mentioned
31062,Entire home/apt
31064,Entire home/apt
31066,Entire home/apt
31067,Entire home/apt
31068,Private room
31069,Entire home/apt
31070,Entire home/apt
31071,Not mentioned
31073,Entire home/apt
31074,Not mentioned
31075,Not mentioned
31077,Entire home/apt
31078,Entire home/apt
31080,Entire home/apt
31081,Not mentioned
31082,Not mentioned
31084,Entire home/apt
31085,Not mentioned
31087,Entire home/apt
31088,Not mentioned
31089,Not mentioned
31090,Not mentioned
31091,Not mentioned
31092,Not mentioned
31093,Not mentioned
31094,Not mentioned
31095,Not mentioned
31096,Not mentioned
31097,Shared room
31098,Private room
31099,Shared room
31100,Not mentioned
31101,Not mentioned
31102,Not mentioned
31103,Not mentioned
31104,Not mentioned
31105,Not mentioned
31106,Not mentioned
31107,Private room
31108,Entire home/apt
31110,Entire home/apt
31111,Not mentioned
31113,Entire home/apt
31115,Entire home/apt
31116,Not mentioned
31117,Not mentioned
31118,Not mentioned
31119,Not mentioned
31121,Entire home/apt
31122,Not mentioned
31124,Entire home/apt
31125,Not mentioned
31126,Not mentioned
31127,Not mentioned
31129,Private room
31130,Entire home/apt
31131,Not mentioned
31132,Not mentioned
31134,Entire home/apt
31135,Entire home/apt
31136,Private room
31137,Private room
31138,Entire home/apt
31140,Entire home/apt
31141,Entire home/apt
31142,Not mentioned
31144,Entire home/apt
31145,Not mentioned
31146,Entire home/apt
31148,Private room
31150,Entire home/apt
31151,Private room
31153,Entire home/apt
31154,Private room
31156,Entire home/apt
31157,Not mentioned
31158,Private room
31159,Private room
31160,Private room
31161,Not mentioned
31163,Private room
31164,Not mentioned
31165,Not mentioned
31166,Not mentioned
31167,Not mentioned
31169,Private room
31171,Entire home/apt
31172,Entire home/apt
31173,Private room
31174,Private room
31175,Not mentioned
31177,Private room
31178,Entire home/apt
31179,Not mentioned
31180,Entire home/apt
31181,Not mentioned
31182,Not mentioned
31183,Not mentioned
31185,Entire home/apt
31186,Not mentioned
31188,Private room
31189,Entire home/apt
31190,Private room
31191,Entire home/apt
31192,Private room
31193,Entire home/apt
31195,Entire home/apt
31196,Not mentioned
31197,Not mentioned
31198,Not mentioned
31200,Entire home/apt
31201,Not mentioned
31202,Not mentioned
31204,Private room
31205,Entire home/apt
31206,Private room
31207,Not mentioned
31209,Entire home/apt
31211,Entire home/apt
31212,Not mentioned
31213,Not mentioned
31215,Entire home/apt
31216,Not mentioned
31217,Entire home/apt
31218,Not mentioned
31219,Not mentioned
31220,Entire home/apt
31221,Not mentioned
31222,Not mentioned
31224,Entire home/apt
31225,Not mentioned
31226,Not mentioned
31228,Entire home/apt
31229,Entire home/apt
31230,Not mentioned
31231,Not mentioned
31232,Not mentioned
31234,Entire home/apt
31235,Not mentioned
31236,Entire home/apt
31238,Entire home/apt
31239,Entire home/apt
31240,Entire home/apt
31241,Entire home/apt
31242,Entire home/apt
31243,Entire home/apt
31244,Entire home/apt
31245,Entire home/apt
31246,Not mentioned
31248,Entire home/apt
31249,Not mentioned
31251,Entire home/apt
31252,Not mentioned
31254,Entire home/apt
31255,Entire home/apt
31256,Private room
31257,Not mentioned
31258,Not mentioned
31259,Not mentioned
31261,Private room
31262,Not mentioned
31263,Not mentioned
31265,Entire home/apt
31266,Not mentioned
31268,Private room
31269,Entire home/apt
31271,Entire home/apt
31273,Private room
31274,Not mentioned
31275,Not mentioned
31276,Not mentioned
31277,Not mentioned
31278,Not mentioned
31279,Not mentioned
31280,Not mentioned
31281,Not mentioned
31283,Private room
31284,Not mentioned
31286,Entire home/apt
31287,Not mentioned
31288,Entire home/apt
31289,Entire home/apt
31290,Not mentioned
31291,Not mentioned
31292,Not mentioned
31293,Not mentioned
31294,Entire home/apt
31295,Not mentioned
31296,Not mentioned
31297,Not mentioned
31298,Not mentioned
31300,Entire home/apt
31301,Private room
31302,Private room
31304,Private room
31306,Private room
31307,Not mentioned
31308,Entire home/apt
31309,Not mentioned
31310,Not mentioned
31311,Entire home/apt
31312,Not mentioned
31313,Not mentioned
31315,Entire home/apt
31316,Not mentioned
31318,Shared room
31319,Not mentioned
31321,Entire home/apt
31322,Not mentioned
31324,Entire home/apt
31325,Not mentioned
31326,Not mentioned
31328,Entire home/apt
31329,Not mentioned
31330,Not mentioned
31331,Private room
31332,Private room
31333,Not mentioned
31335,Entire home/apt
31336,Not mentioned
31338,Entire home/apt
31339,Entire home/apt
31341,Entire home/apt
31342,Not mentioned
31343,Not mentioned
31345,Entire home/apt
31347,Entire home/apt
31348,Not mentioned
31349,Not mentioned
31350,Not mentioned
31351,Not mentioned
31353,Entire home/apt
31354,Private room
31355,Private room
31356,Not mentioned
31357,Not mentioned
31358,Not mentioned
31359,Not mentioned
31360,Not mentioned
31361,Not mentioned
31362,Not mentioned
31363,Not mentioned
31364,Not mentioned
31366,Entire home/apt
31368,Entire home/apt
31370,Entire home/apt
31371,Not mentioned
31373,Entire home/apt
31374,Entire home/apt
31376,Entire home/apt
31378,Entire home/apt
31380,Entire home/apt
31381,Not mentioned
31382,Not mentioned
31383,Not mentioned
31384,Not mentioned
31385,Not mentioned
31386,Not mentioned
31387,Not mentioned
31388,Not mentioned
31389,Not mentioned
31390,Not mentioned
31391,Not mentioned
31393,Entire home/apt
31394,Not mentioned
31395,Not mentioned
31397,Entire home/apt
31398,Private room
31399,Entire home/apt
31401,Entire home/apt
31403,Entire home/apt
31404,Not mentioned
31405,Not mentioned
31406,Not mentioned
31407,Not mentioned
31408,Not mentioned
31410,Entire home/apt
31412,Private room
31413,Private room
31414,Shared room
31416,Entire home/apt
31417,Entire home/apt
31418,Private room
31419,Shared room
