,Neighbourhhood
1218,North City Central/O'Connell Street
1219,Temple Bar
1220,Trinity College
1221,City Centre
1222,North City Central/O'Connell Street
1223,Temple Bar
1224,Trinity College
1225,
1226,City Centre
1227,
1228,City Centre
1229,Temple Bar
1230,Temple Bar
1231,
1232,City Centre
1233,
1234,City Centre
1235,
1236,City Centre
1237,
1238,City Centre
1239,
1240,City Centre
1241,Phoenix Park and Surrounds
1242,
1243,Ballsbridge
1244,Donnybrook
1245,Ranelagh and Rathmines
1246,Rathfarnham
1247,Rathgar
1248,Ringsend/Irishtown
1249,
1250,City Centre
1251,
1252,City Centre
1253,
1254,City Centre
1255,
1256,City Centre
1257,
1258,City Centre
1259,
1260,Blackrock
1261,
1262,City Centre
1263,
1264,City Centre
1265,Temple Bar
1266,
1267,City Centre
1268,North City Central/O'Connell Street
1269,Temple Bar
1270,
1271,City Centre
1272,
1273,North City Central/O'Connell Street
1274,
1275,City Centre
1276,City Centre
1277,Ranelagh and Rathmines
1278,Docklands
1279,Donnybrook
1280,Portobello
1281,
1282,City Centre
1283,
1284,City Centre
1285,
1286,City Centre
1287,
1288,City Centre
1289,Old City
1290,Old City
1291,
1292,City Centre
1293,City Centre
1294,
1295,City Centre
1296,
1297,City Centre
1298,
1299,City Centre
1300,
1301,City Centre
1302,North City Central/O'Connell Street
1303,
1304,City Centre
1305,
1306,City Centre
1307,
1308,City Centre
1309,
1310,City Centre
1311,City Centre
1312,Old City
1313,
1314,City Centre
1315,
1316,Temple Bar
1317,
1318,Temple Bar
1319,
1320,City Centre
1321,
1322,City Centre
1323,
1324,City Centre
1325,
1326,City Centre
1327,
1328,City Centre
1329,Temple Bar
1330,
1331,City Centre
1332,
1333,City Centre
1334,
1335,City Centre
1336,
1337,City Centre
1338,
1339,City Centre
1340,
1341,City Centre
1342,
1343,City Centre
1344,
1345,City Centre
1346,
1347,City Centre
1348,
1349,City Centre
1350,
1351,City Centre
1352,Old City
1353,
1354,City Centre
1355,
1356,City Centre
1357,
1358,Docklands
1359,
1360,Ranelagh and Rathmines
1361,Ballsbridge
1362,Donnybrook
1363,Georgian Quarter
1364,Old City
1365,Portobello
1366,Rathgar
1367,Ringsend/Irishtown
1368,Sandymount
1369,Temple Bar
1370,Terenure
1371,Trinity College
1372,
1373,City Centre
1374,
1375,City Centre
1376,
1377,City Centre
1378,
1379,City Centre
1380,
1381,City Centre
1382,
1383,City Centre
1384,
1385,Ringsend/Irishtown
1386,
1387,City Centre
1388,
1389,City Centre
1390,
1391,Ranelagh and Rathmines
1392,
1393,City Centre
1394,
1395,City Centre
1396,Drumcondra
1397,City Centre
1398,
1399,Grafton Street/St. Stephens Green
1400,
1401,City Centre
1402,
1403,Temple Bar
1404,
1405,City Centre
1406,
1407,City Centre
1408,
1409,City Centre
1410,
1411,City Centre
1412,
1413,City Centre
1414,
1415,City Centre
1416,
1417,City Centre
1418,
1419,City Centre
1420,
1421,City Centre
1422,
1423,City Centre
1424,
1425,City Centre
1426,Ranelagh and Rathmines
1427,Harold's Cross
1428,Ranelagh and Rathmines
1429,Rathgar
1430,Terenure
1431,
1432,City Centre
1433,
1434,City Centre
1435,
1436,City Centre
1437,North City Central/O'Connell Street
1438,Smithfield
1439,Ballsbridge
1440,Courtlands
1441,Docklands
1442,Grafton Street/St. Stephens Green
1443,Old City
1444,Temple Bar
1445,Trinity College
1446,City Centre
1447,North City Central/O'Connell Street
1448,Smithfield
1449,Ballsbridge
1450,Courtlands
1451,Docklands
1452,Old City
1453,Temple Bar
1454,Trinity College
1455,
1456,City Centre
1457,Ballsbridge
1458,Temple Bar
1459,Trinity College
1460,
1461,City Centre
1462,
1463,City Centre
1464,
1465,City Centre
1466,
1467,City Centre
1468,Docklands
1469,
1470,City Centre
1471,City Centre
1472,Old City
1473,
1474,City Centre
1475,Docklands
1476,
1477,City Centre
1478,
1479,City Centre
1480,North City Central/O'Connell Street
1481,City Centre
1482,North City Central/O'Connell Street
1483,Phibsborough
1484,Stoneybatter/Arbour Hill
1485,
1486,City Centre
1487,City Centre
1488,Docklands
1489,North City Central/O'Connell Street
1490,
1491,Georgian Quarter
1492,
1493,City Centre
1494,City Centre
1495,Portobello
1496,Portobello
1497,
1498,Ballsbridge
1499,City Centre
1500,
1501,City Centre
1502,
1503,Ballymun
1504,
1505,City Centre
1506,
1507,City Centre
1508,Temple Bar
1509,
1510,City Centre
1511,
1512,Ranelagh and Rathmines
1513,
1514,City Centre
1515,City Centre
1516,City Centre
1517,
1518,City Centre
1519,
1520,City Centre
1521,
1522,City Centre
1523,
1524,City Centre
1525,Temple Bar
1526,
1527,City Centre
1528,Temple Bar
1529,Trinity College
1530,
1531,City Centre
1532,
1533,City Centre
1534,
1535,City Centre
1536,
1537,City Centre
1538,
1539,City Centre
1540,
1541,Docklands
1542,Temple Bar
1543,
1544,City Centre
1545,Old City
1546,Old City
1547,
1548,City Centre
1549,
1550,City Centre
1551,
1552,City Centre
1553,Docklands
1554,Old City
1555,City Centre
1556,Old City
1557,Docklands
1558,
1559,Ranelagh and Rathmines
1560,
1561,City Centre
1562,Temple Bar
1563,
1564,City Centre
1565,City Centre
1566,
1567,City Centre
1568,
1569,City Centre
1570,
1571,City Centre
1572,
1573,City Centre
1574,Old City
1575,Temple Bar
1576,Santry
1577,
1578,City Centre
1579,Grafton Street/St. Stephens Green
1580,Temple Bar
1581,Trinity College
1582,
1583,Old City
1584,
1585,City Centre
1586,Old City
1587,
1588,City Centre
1589,
1590,City Centre
1591,
1592,Clontarf
1593,
1594,City Centre
1595,Trinity College
1596,
1597,City Centre
1598,
1599,City Centre
1600,
1601,Ranelagh and Rathmines
1602,
1603,City Centre
1604,Docklands
1605,North City Central/O'Connell Street
1606,Ballyfermot
1607,Grafton Street/St. Stephens Green
1608,Ringsend/Irishtown
1609,Temple Bar
1610,Trinity College
1611,
1612,City Centre
1613,
1614,City Centre
1615,City Centre
1616,
1617,City Centre
1618,
1619,Phibsborough
1620,Phoenix Park and Surrounds
1621,Phibsborough
1622,Phoenix Park and Surrounds
1623,Stoneybatter/Arbour Hill
1624,
1625,Kilmainham
1626,City Centre
1627,City Centre
1628,
1629,City Centre
1630,
1631,City Centre
1632,
1633,Ballsbridge
1634,City Centre
1635,City Centre
